DKNG,,,FUBO,,,WWE,,,NKE,
Date,Close,,Date,Close,,Date,Close,,Date,Close
7/25/2019 16:00,9.8,,3/25/2019 16:00,9.75,,3/25/2019 16:00,87.23,,3/25/2019 16:00,82.33
8/7/2019 16:00,9.76,,3/26/2019 16:00,9.75,,3/26/2019 16:00,88.29,,3/26/2019 16:00,83.38
8/13/2019 16:00,9.78,,3/27/2019 16:00,9.99,,3/27/2019 16:00,84.87,,3/27/2019 16:00,83.09
8/20/2019 16:00,9.85,,4/1/2019 16:00,10,,3/28/2019 16:00,86,,3/28/2019 16:00,84.04
8/27/2019 16:00,9.85,,4/2/2019 16:00,7.1,,3/29/2019 16:00,86.78,,3/29/2019 16:00,84.21
8/28/2019 16:00,9.85,,4/3/2019 16:00,7.5,,4/1/2019 16:00,87.2,,4/1/2019 16:00,85.23
9/18/2019 16:00,9.9,,4/4/2019 16:00,7.46,,4/2/2019 16:00,87.45,,4/2/2019 16:00,84.37
9/20/2019 16:00,9.85,,4/5/2019 16:00,7.87,,4/3/2019 16:00,89.1,,4/3/2019 16:00,84.47
9/24/2019 16:00,9.85,,4/8/2019 16:00,8.5,,4/4/2019 16:00,89.73,,4/4/2019 16:00,85.28
9/26/2019 16:00,9.85,,4/9/2019 16:00,8,,4/5/2019 16:00,89.15,,4/5/2019 16:00,85.4
10/1/2019 16:00,9.92,,4/10/2019 16:00,7.5,,4/8/2019 16:00,90.03,,4/8/2019 16:00,84.73
10/3/2019 16:00,9.89,,4/11/2019 16:00,8,,4/9/2019 16:00,91.04,,4/9/2019 16:00,84.28
10/4/2019 16:00,9.92,,4/12/2019 16:00,7.7,,4/10/2019 16:00,94.18,,4/10/2019 16:00,84.88
10/9/2019 16:00,9.92,,4/16/2019 16:00,7.46,,4/11/2019 16:00,95.06,,4/11/2019 16:00,85
10/15/2019 16:00,9.95,,4/17/2019 16:00,7.46,,4/12/2019 16:00,96.1,,4/12/2019 16:00,86.24
10/16/2019 16:00,9.93,,4/18/2019 16:00,7.5,,4/15/2019 16:00,97.25,,4/15/2019 16:00,86.83
10/17/2019 16:00,9.95,,4/22/2019 16:00,7.21,,4/16/2019 16:00,98.1,,4/16/2019 16:00,87.8
10/18/2019 16:00,9.95,,4/23/2019 16:00,7.25,,4/17/2019 16:00,96.11,,4/17/2019 16:00,88.73
