,NVDA,BYD,BGFV
2019-05-28,143.3,25.49,2.36
2019-05-29,140.31,25.08,2.1839
2019-05-30,139.11,24.25,2.075
2019-05-31,135.46,23.925,2.0
2019-06-03,133.78,22.96,2.07
2019-06-04,143.02,24.04,2.22
2019-06-05,141.33,23.83,2.04
2019-06-06,143.79,24.18,2.08
2019-06-07,145.5,25.07,2.08
2019-06-10,148.45,25.65,2.12
2019-06-11,150.76,26.72,2.135
2019-06-12,146.165,26.01,2.15
2019-06-13,148.32,26.43,2.14
2019-06-14,144.58,26.36,2.19
2019-06-17,145.02,27.11,2.2
2019-06-18,152.89,27.52,2.28
2019-06-19,153.11,27.88,2.24
2019-06-20,154.1,27.91,2.2
2019-06-21,151.76,27.27,2.07
2019-06-24,152.66,27.46,2.05
2019-06-25,151.48,26.59,2.02
2019-06-26,159.25,26.85,1.97
2019-06-27,163.23,27.42,1.96
2019-06-28,164.16,26.94,1.94
2019-07-01,166.2,27.01,1.94
2019-07-02,162.2201,27.56,1.91
2019-07-03,162.76,27.88,2.01
2019-07-05,160.33,27.57,2.0
2019-07-08,157.26,27.34,2.01
2019-07-09,157.32,27.24,1.995
2019-07-10,160.06,26.53,1.95
2019-07-11,166.28,26.05,1.95
2019-07-12,167.6,26.43,2.0
2019-07-15,167.31,27.05,1.95
2019-07-16,167.07,27.2,1.94
2019-07-17,169.69,26.45,1.85
2019-07-18,170.18,25.92,1.87
2019-07-19,168.44,25.48,1.895
2019-07-22,171.31,25.06,1.88
2019-07-23,175.71,25.96,1.86
2019-07-24,178.7,26.8,1.85
2019-07-25,173.32,26.37,1.71
2019-07-26,175.04,27.0,1.675
2019-07-29,174.82,26.87,1.6499
2019-07-30,175.46,27.94,1.64
2019-07-31,168.72,26.45,2.13
2019-08-01,164.92,25.86,2.09
2019-08-02,161.17,26.08,2.28
2019-08-05,150.73,25.39,2.08
2019-08-06,152.34,24.81,2.03
2019-08-07,153.97,24.12,2.04
2019-08-08,158.31,24.61,1.99
2019-08-09,154.18,24.4,1.98
2019-08-12,151.45,23.89,1.91
2019-08-13,156.08,23.655,1.92
2019-08-14,150.07,22.46,1.76
2019-08-15,148.7975,21.78,1.7
2019-08-16,159.49,23.01,1.77
2019-08-19,170.77,23.3,1.86
2019-08-20,167.84,23.45,1.83
2019-08-21,171.24,23.4,1.92
2019-08-22,171.46,23.54,1.97
2019-08-23,162.52,22.71,1.95
2019-08-26,165.46,23.04,1.98
2019-08-27,161.81,22.5,2.07
2019-08-28,161.21,23.43,1.87
2019-08-29,166.99,24.11,1.89
2019-08-30,167.51,24.04,1.79
2019-09-03,164.16,23.44,1.71
2019-09-04,168.76,23.46,1.71
2019-09-05,179.76,24.02,1.79
2019-09-06,178.65,23.91,1.86
2019-09-09,180.44,24.95,2.25
2019-09-10,183.24,25.58,2.32
2019-09-11,184.41,26.5,2.46
2019-09-12,184.26,26.71,2.26
2019-09-13,181.92,27.165,2.185
2019-09-16,180.2,27.15,2.135
2019-09-17,181.02,26.94,2.045
2019-09-18,179.99,26.77,1.94
2019-09-19,176.91,26.36,1.95
2019-09-20,172.62,25.85,2.19
2019-09-23,174.84,25.66,2.32
2019-09-24,172.56,25.09,2.3
2019-09-25,178.27,24.86,2.32
2019-09-26,177.37,24.33,2.33
2019-09-27,171.79,23.67,2.31
2019-09-30,174.07,23.95,2.07
2019-10-01,173.94,23.92,2.17
2019-10-02,173.12,23.87,2.105
2019-10-03,181.32,24.02,2.07
2019-10-04,182.04,24.58,2.14
2019-10-07,184.33,24.94,2.13
2019-10-08,177.23,24.72,2.19
2019-10-09,180.71,25.1,2.33
2019-10-10,183.01,25.11,2.38
2019-10-11,185.95,26.01,2.4
2019-10-14,186.54,26.03,2.45
2019-10-15,196.42,26.28,2.38
2019-10-16,194.21,26.22,2.56
2019-10-17,194.29,26.24,2.54
2019-10-18,190.42,26.01,2.57
2019-10-21,196.0301,25.89,2.48
2019-10-22,195.53,26.16,2.4
2019-10-23,195.1,26.83,2.53
2019-10-24,196.83,26.25,2.57
2019-10-25,204.54,26.98,2.53
2019-10-28,206.77,27.25,2.59
2019-10-29,202.9,27.35,2.41
2019-10-30,203.1,27.62,3.48
2019-10-31,201.14,27.24,3.17
2019-11-01,202.74,27.38,3.1
2019-11-04,210.57,28.09,3.22
2019-11-05,209.63,27.83,3.3
2019-11-06,207.6,27.29,3.3
2019-11-07,208.4,28.11,3.26
2019-11-08,207.77,28.62,3.14
2019-11-11,208.13,28.87,3.185
2019-11-12,209.61,28.91,2.98
2019-11-13,208.56,29.05,2.85
2019-11-14,209.8,29.07,2.875
2019-11-15,204.12,29.28,2.84
2019-11-18,212.27,30.1,2.72
2019-11-19,208.0,30.39,2.72
2019-11-20,211.175,30.35,2.55
2019-11-21,210.19,30.02,2.53
2019-11-22,210.89,29.88,2.68
2019-11-25,221.23,29.86,2.76
2019-11-26,217.08,29.49,2.78
2019-11-27,218.24,29.83,2.69
2019-11-29,216.74,29.42,2.7
2019-12-02,209.16,29.27,2.58
2019-12-03,207.67,29.11,2.55
2019-12-04,209.41,28.97,2.59
2019-12-05,208.74,28.67,2.61
2019-12-06,212.18,29.4,2.67
2019-12-09,212.12,29.0,2.82
2019-12-10,213.99,29.15,3.07
2019-12-11,217.35,29.38,3.0
2019-12-12,224.11,29.89,2.95
2019-12-13,223.99,29.7,2.885
2019-12-16,225.2,29.66,2.85
2019-12-17,228.3,29.69,2.8
2019-12-18,229.42,30.41,2.86
2019-12-19,235.5,30.785,2.96
2019-12-20,239.39,30.35,2.9742
2019-12-23,238.82,30.34,3.0
2019-12-24,238.62,30.44,3.02
2019-12-26,239.14,30.64,3.005
2019-12-27,236.87,30.37,3.015
2019-12-30,232.31,29.96,2.99
2019-12-31,235.35,29.93,2.99
2020-01-02,239.86,30.06,3.03
2020-01-03,236.04,29.69,3.02
2020-01-06,237.03,29.74,3.23
2020-01-07,239.94,29.52,3.15
2020-01-08,240.49,29.79,3.2
2020-01-09,243.02,29.6,3.165
2020-01-10,244.33,28.64,3.1
2020-01-13,251.98,28.67,3.105
2020-01-14,247.29,28.84,4.05
2020-01-15,245.57,29.33,3.93
2020-01-16,249.0,29.82,3.99
2020-01-17,249.27,29.26,3.9
2020-01-21,247.96,28.55,3.89
2020-01-22,250.11,28.44,3.86
2020-01-23,252.79,29.2,3.84
2020-01-24,250.55,29.52,3.88
2020-01-27,240.18,28.79,3.9
2020-01-28,248.0,29.66,3.9101
2020-01-29,245.54,29.83,3.96
