,DKNG,NKE,WWE,FUBO
2019-03-25,,82.32,87.23,
2019-03-26,,83.36,88.29,
2019-03-27,,83.08,84.87,
2019-03-28,,84.03,85.895,
2019-03-29,,84.21,86.78,
2019-04-01,,85.22,87.17,
2019-04-02,,84.37,87.44,
2019-04-03,,84.46,89.09,
2019-04-04,,85.29,89.73,
2019-04-05,,85.38,89.17,
2019-04-08,,84.74,90.02,
2019-04-09,,84.3,91.05,
2019-04-10,,84.89,94.19,
2019-04-11,,85.0,95.05,
2019-04-12,,86.24,96.16,
2019-04-15,,86.82,97.22,
2019-04-16,,87.78,98.12,
2019-04-17,,88.75,96.1,
2019-04-18,,89.2,96.69,
2019-04-22,,87.35,96.11,
2019-04-23,,87.41,99.25,
2019-04-24,,88.4,98.48,
2019-04-25,,87.54,85.375,
2019-04-26,,88.31,83.52,
2019-04-29,,88.21,82.45,
2019-04-30,,87.83,83.86,
2019-05-01,,85.87,82.63,
2019-05-02,,85.27,85.59,
2019-05-03,,85.7,85.82,
2019-05-06,,83.5742,87.16,
2019-05-07,,82.54,84.93,
2019-05-08,,82.77,84.31,
2019-05-09,,82.96,83.88,
2019-05-10,,83.96,84.04,
2019-05-13,,82.51,80.78,
2019-05-14,,83.67,79.99,
2019-05-15,,84.01,81.19,
2019-05-16,,84.3,81.62,
2019-05-17,,84.55,80.03,
2019-05-20,,82.84,78.5,
2019-05-21,,83.65,79.11,
2019-05-22,,83.1933,77.49,
2019-05-23,,82.63,76.63,
2019-05-24,,82.18,75.89,
2019-05-28,,81.18,74.07,
2019-05-29,,78.85,72.5,
2019-05-30,,79.24,72.51,
2019-05-31,,77.14,72.73,
2019-06-03,,78.01,72.74,
2019-06-04,,81.62,73.12,
2019-06-05,,82.74,73.69,
2019-06-06,,82.47,73.5,
2019-06-07,,83.41,73.28,
2019-06-10,,82.57,71.51,
2019-06-11,,83.26,72.96,
2019-06-12,,82.63,72.97,
2019-06-13,,83.62,75.56,
2019-06-14,,83.42,74.56,
2019-06-17,,82.11,75.55,
2019-06-18,,84.31,76.96,
2019-06-19,,83.52,76.92,
2019-06-20,,85.24,75.35,
2019-06-21,,85.71,73.48,
2019-06-24,,84.5,73.17,
2019-06-25,,82.61,72.08,
2019-06-26,,82.52,71.11,
2019-06-27,,83.56,72.2,
2019-06-28,,83.84,72.33,
2019-07-01,,85.43,73.45,
2019-07-02,,84.95,74.63,
2019-07-03,,86.18,74.63,
2019-07-05,,86.88,75.19,
2019-07-08,,88.47,72.66,
2019-07-09,,88.04,72.98,
2019-07-10,,87.45,73.29,
2019-07-11,,88.28,73.06,
2019-07-12,,89.12,73.17,
2019-07-15,,89.475,73.12,
2019-07-16,,88.6,72.38,
2019-07-17,,87.49,72.08,
2019-07-18,,87.43,70.18,
2019-07-19,,86.55,70.23,
2019-07-22,,85.96,69.64,
2019-07-23,,86.7,68.33,
2019-07-24,,86.7,68.78,
2019-07-25,,87.28,74.68,
2019-07-26,,87.55,75.99,
2019-07-29,,87.61,74.25,
2019-07-30,,87.19,73.11,
2019-07-31,,86.0,72.78,
2019-08-01,,83.11,70.96,
2019-08-02,,81.12,69.38,
2019-08-05,,78.97,66.11,
2019-08-06,,81.28,67.57,
2019-08-07,,81.28,67.95,
2019-08-08,,83.01,68.99,
2019-08-09,,81.98,67.24,
2019-08-12,,81.65,63.48,
2019-08-13,,83.33,66.71,
2019-08-14,,81.03,67.44,
2019-08-15,,79.52,68.95,
2019-08-16,,80.2875,69.64,
2019-08-19,,81.1,71.93,
2019-08-20,,80.54,74.46,
2019-08-21,,82.8,74.07,
2019-08-22,,83.33,74.25,
2019-08-23,,80.44,73.83,
2019-08-26,,82.27,74.4,
2019-08-27,,82.04,73.88,
2019-08-28,,83.48,73.07,
2019-08-29,,85.38,71.51,
2019-08-30,,84.43,71.44,
2019-09-03,,84.69,69.38,
2019-09-04,,86.35,70.98,
2019-09-05,,88.45,71.38,
2019-09-06,,88.68,73.59,
